id,tool_id,category_ru,category_en,name_ru,name_en,description,subroutine_ru,subroutine_en,project_name,project_name_display
1,1.1,Измерение,Measurement,Измерение диаметра окружности,Diameter Measurement,Аппроксимирует круглую деталь окружностью и выдает её радиус или диаметр.,1.1 Diameter Measurement,1.1DiameterMeasurement,1.1DiameterMeasurement,1.1 Diameter Measurement
2,1.2,Измерение,Measurement,Анализ яркости,Brightness Average Value,"Вычисляет среднюю, минимальную, максимальную яркость и контраст в заданной области.",1.2 Brightness Average Value,1.2BrightnessAverageValue,1.2BrightnessAverageValue,1.2 Brightness Average Value
3,1.3,Измерение,Measurement,Анализ цвета,Color Measure,"Для цветных камер: выполняет статистический анализ цветовых каналов (RGB, HSV, HSI) в области.",1.3 Color Measure,1.3ColorMeasure,1.3ColorMeasure,1.3 Color Measure
4,1.4,Измерение,Measurement,Измерение цветовой площади,Color Size,"Подсчитывает площадь пикселей, попадающих в заданный цветовой диапазон.",1.4 Color Size,1.4ColorSize,1.4ColorSize,1.4 Color Size
5,1.5,Измерение,Measurement,Измерение контраста,Contrast Measurement,"Оценивает отношение яркостей в области, полезно для контроля освещения.",1.5 Contrast Measurement,1.5ContrastMeasurement,1.5ContrastMeasurement,1.5 Contrast Measurement
6,1.6,Измерение,Measurement,Измерение расстояния между двумя краями,Edge Width Measurement,"Определяет зазор или ширину между двумя ближайшими краями (например, щель между деталями).",1.6 Edge Width Measurement,1.6EdgeWidthMeasurement,1.6EdgeWidthMeasurement,1.6 Edge Width Measurement
7,1.7,Измерение,Measurement,Измерение площади по яркости,Greyscale Size,"Подсчитывает площадь области, пиксели которой попадают в заданный диапазон яркости.",1.7 Greyscale Size,1.7GreyscaleSize,1.7GreyscaleSize,1.7 Greyscale Size
8,1.8,Измерение,Measurement,Измерение угла между двумя прямыми,L2L Angle,Находит две прямые линии и вычисляет точный угол между ними.,1.8 L2L Angle,1.8L2LAngle,1.8L2LAngle,1.8 L2L Angle
9,1.9,Измерение,Measurement,Измерение угла наклона прямой,Line Angle,Измеряет угол наклона одной прямой относительно горизонтальной оси.,1.9 Line Angle,1.9LineAngle,1.9LineAngle,1.9 Line Angle
10,1.10,Измерение,Measurement,Измерение расстояния от точки до линии,P2L Measurement,Находит прямую линию и измеряет перпендикулярное расстояние от заданной точки до этой линии.,1.10 P2L Measurement,1.10P2LMeasurement,1.10P2LMeasurement,1.10 P2L Measurement
11,1.11,Измерение,Measurement,Измерение расстояния между двумя точками,P2P Measurement,Позволяет измерить расстояние (в пикселях или мм) между двумя произвольно заданными точками на объекте.,1.11 P2P Measurement,1.11P2PMeasurement,1.11P2PMeasurement,1.11 P2P Measurement
12,1.12,Измерение,Measurement,Измерение ширины объекта,Width Measurement,Автоматически находит два края объекта и измеряет расстояние (ширину) между ними.,1.12 Width Measurement,1.12WidthMeasurement,1.12WidthMeasurement,1.12 Width Measurement
13,2.1,Подсчёт,Counting,Интеллектуальный подсчёт,Registered Object Count,Обучение на 10 и менее примерах для надежного подсчета объектов со сложной или изменчивой формой.,2.1 Registered Object Count,2.1RegisteredObjectCount,2.1RegisteredObjectCount,2.1 Registered Object Count
14,2.2,Подсчёт,Counting,Подсчёт по цвету,Color Count,"Подсчитывает объекты на основе их цвета (например, сколько красных деталей).",2.2 Color Count,2.2ColorCount,2.2ColorCount,2.2 Color Count
15,2.3,Подсчёт,Counting,Подсчёт по контуру,Contour Count,Подсчитывает объекты по их контурам.,2.3 Contour Count,2.3ContourCount,2.3ContourCount,2.3 Contour Count
16,2.4,Подсчёт,Counting,Подсчёт краёв,Edge Count,"Подсчитывает количество обнаруженных краёв в области (например, количество зубьев шестерни).",2.4 Edge Count,2.4EdgeCount,2.4EdgeCount,2.4 Edge Count
17,2.5,Подсчёт,Counting,Подсчёт по шаблону,Pattern Count,"Подсчитывает количество экземпляров заданного шаблона (например, количество одинаковых деталей).",2.5 Pattern Count,2.5PatternCount,2.5PatternCount,2.5 Pattern Count
18,2.6,Подсчёт,Counting,Подсчёт пятен,Spot Count,"Идеально подходит для подсчета мелких контрастных объектов (таблетки, гранулы).",2.6 Spot Count,2.6SpotCount,2.6SpotCount,2.6 Spot Count
19,3.1,Распознавание,Recognition,Классификация объектов,Classification Registration,"Обучение на наборе изображений для разделения объектов на категории (например, ""норма"", ""брак"").",3.1 Classification Registration,3.1ClassificationRegistration,3.1ClassificationRegistration,3.1 Classification Registration
20,3.2,Распознавание,Recognition,Чтение 1D и 2D кодов,Code Recognition,"Считывает стандартные штрихкоды (Code39, Code128 и др.) и матричные коды (DataMatrix, QR).",3.2 Code Recognition,3.2CodeRecognition,3.2CodeRecognition,3.2 Code Recognition
21,3.3,Распознавание,Recognition,Сравнение цвета с шаблоном,Color Contrast,Оценивает степень соответствия цвета области заданному цветовому шаблону.,3.3 Color Contrast,3.3ColorContrast,3.3ColorContrast,3.3 Color Contrast
22,3.4,Распознавание,Recognition,Распознавание цветов,Color Recognition,"Определяет цвет объекта, сравнивая его с предварительно обученными цветовыми шаблонами.",3.4 Color Recognition,3.4ColorRecognition,3.4ColorRecognition,3.4 Color Recognition
23,3.5,Распознавание,Recognition,Детекция и классификация нескольких объектов,Multi Object Detection,"Одновременное обнаружение и распознавание объектов разных классов (например, найти все ""гайки"" и все ""болты"").",3.5 Multi Object Detection,3.5MultiObjectDetection,3.5MultiObjectDetection,3.5 Multi Object Detection
24,3.6,Распознавание,Recognition,Обнаружение объектов,Object Detection,Обучение на наборе изображений для обнаружения и подсчёта объектов одного или нескольких классов.,3.6 Object Detection,3.6ObjectDetection,3.6ObjectDetection,3.6 Object Detection
25,3.7,Распознавание,Recognition,Оптическое распознавание символов,OCR,"Считывает и распознает печатный текст (дату, номер партии, серийный номер) на детали или этикетке.",3.7 OCR,3.7OCR,3.7OCR,3.7 OCR
26,3.8,Распознавание,Recognition,Распознавание типов,Type Recognition,"Определяет принадлежность объекта к одному из предварительно обученных классов (например, «деталь А», «деталь Б»).",3.8 Type Recognition,3.8TypeRecognition,3.8TypeRecognition,3.8 Type Recognition
27,4.1,Логика,Logic,Калькулятор,Calculator,"Выполняет арифметические операции с данными, полученными от других инструментов.",4.1 Calculator,4.1Calculator,4.1Calculator,4.1 Calculator
28,4.2,Логика,Logic,Сравнение строк,Character Comparison,"Сравнивает распознанный текст или код с заданным значением, регулярным выражением или системным временем.",4.2 Character Comparison,4.2CharacterComparison,4.2CharacterComparison,4.2 Character Comparison
29,4.3,Логика,Logic,Комбинационный анализ,Combination Judge,Выводит заданный результат при определенных комбинациях значений от разных инструментов.,4.3 Combination Judge,4.3CombinationJudge,4.3CombinationJudge,4.3 Combination Judge
30,4.4,Логика,Logic,Проверка условия,Condition Judge,"Проверяет, удовлетворяет ли числовое значение подписанного модуля заданному диапазону.",4.4 Condition Judge,4.4ConditionJudge,4.4ConditionJudge,4.4 Condition Judge
31,4.5,Логика,Logic,Форматированный вывод,Format Output V2,"Позволяет гибко формировать выходную строку, комбинируя данные и символы.",4.5 Format Output V2,4.5FormatOutputV2,4.5FormatOutputV2,4.5 Format Output V2
32,4.6,Логика,Logic,Условный оператор,If Module,"Позволяет выполнять определенные инструменты только при выполнении заданного условия (например, результат другого инструмента OK).",4.6 If Module,4.6IfModule,4.6IfModule,4.6 If Module
33,4.7,Логика,Logic,Логическое И/ИЛИ,Logic Judge,"Комбинирует статусы нескольких модулей (AND, OR, NAND, NOR) для получения итогового результата.",4.7 Logic Judge,4.7LogicJudge,4.7LogicJudge,4.7 Logic Judge
34,5.1,Обнаружение наличия,Presence Detection,Обнаружение окружности,Circle Existence,"Проверяет наличие окружности (например, отверстия) в заданной области.",5.1 Circle Existence,5.1CircleExistence,5.1CircleExistence,5.1 Circle Existence
35,5.2,Обнаружение наличия,Presence Detection,Интеллектуальное обнаружение аномалий,Anomaly Judge,"Ключевая функция на базе глубокого обучения. Обучается только на ""хороших"" образцах и затем обнаруживает любые отклонения.",5.2 Anomaly Judge,5.2AnomalyJudge,5.2AnomalyJudge,5.2 Anomaly Judge
36,5.3,Обнаружение наличия,Presence Detection,Обнаружение по контуру,Contour Existence,"Ищет объект по его контуру, что эффективно при изменчивой форме.",5.3 Contour Existence,5.3ContourExistence,5.3ContourExistence,5.3 Contour Existence
37,5.4,Обнаружение наличия,Presence Detection,Обнаружение края,Edge Existence,Проверяет наличие резкого перепада яркости (края) в области.,5.4 Edge Existence,5.4EdgeExistence,5.4EdgeExistence,5.4 Edge Existence
38,5.5,Обнаружение наличия,Presence Detection,Обнаружение линии,Line Existence,"Проверяет наличие прямой линии (например, края детали).",5.5 Line Existence,5.5LineExistence,5.5LineExistence,5.5 Line Existence
39,5.6,Обнаружение наличия,Presence Detection,Обнаружение по шаблону,Pattern Existence,"Ищет заданный шаблон (изображение) в поле зрения, определяя, есть ли там нужная деталь. Устойчив к поворотам и изменению масштаба.",5.6 Pattern Existence,5.6PatternExistence,5.6PatternExistence,5.6 Pattern Existence
40,5.7,Обнаружение наличия,Presence Detection,Интеллектуальное обнаружение наличия,Registered Object Existence,Обучение на небольшом наборе изображений для надежного определения наличия или отсутствия гибких/изменчивых объектов.,5.7 Registered Object Existence,5.7RegisteredObjectExistence,5.7RegisteredObjectExistence,5.7 Registered Object Existence
41,5.8,Обнаружение наличия,Presence Detection,Обнаружение пятна,Spot Existence,"Обнаруживает области с заданной яркостью (пятна), полезно для контроля наличия капель, меток.",5.8 Spot Existence,5.8SpotExistence,5.8SpotExistence,5.8 Spot Existence
42,6.1,Позиционирование,Positioning,Преобразование координат,Calibration Convert,Преобразует координаты из пиксельных в физические и обратно на основе калибровочного файла.,6.1 Calibration Convert,6.1CalibrationConvert,6.1CalibrationConvert,6.1 Calibration Convert
43,6.2,Позиционирование,Positioning,Коррекция положения,Fixture,"Критически важная функция. Автоматически подстраивает все области интереса под смещение или поворот детали в кадре, обеспечивая надежность измерений.",6.2 Fixture,6.2Fixture,6.2Fixture,6.2 Fixture
44,6.3,Позиционирование,Positioning,,Point Grab,,6.3 Point Grab,6.3PointGrab,6.3PointGrab,6.3 Point Grab
45,6.4,Позиционирование,Positioning,Коррекция положения точки,Point Rectify,Вычисляет смещение для возврата смещенного объекта в эталонное положение.,6.4 Point Rectify,6.4PointRectify,6.4PointRectify,6.4 Point Rectify
46,6.5,Позиционирование,Positioning,Преобразование единиц измерения,Scale Transformation,Пересчитывает измеренные расстояния из пикселей в миллиметры.,6.5 Scale Transformation,6.5ScaleTransformation,6.5ScaleTransformation,6.5 Scale Transformation
47,6.6,Позиционирование,Positioning,Вычисление смещения для наведения,Single Point Alignment,"Рассчитывает смещение и поворот, необходимые для перемещения объекта в целевую точку (например, для робота).",6.6 Single Point Alignment,6.6SinglePointAlignment,6.6SinglePointAlignment,6.6 Single Point Alignment
48,7.1,Глубокое обучение,Deep Learning,Классификация изображений,DL Classification,Классифицирует всю область интереса на заданные категории.,7.1 DL Classification,7.1DLClassification,7.1DLClassification,7.1 DL Classification
49,7.2,Глубокое обучение,Deep Learning,Детекция объектов,DL Object Detection,Обнаруживает и локализует несколько объектов разных классов на изображении.,7.2 DL Object Detection,7.2DLObjectDetection,7.2DLObjectDetection,7.2 DL Object Detection
50,8.1,Поиск дефектов,Defect Detection,Обнаружение аномалий,Anomaly Detection,"Выявляет дефекты на основе обучения только на ""хороших"" образцах, подходит для непредсказуемых дефектов.",8.1 Anomaly Detection,8.1AnomalyDetection,8.1AnomalyDetection,8.1 Anomaly Detection
